start_time_ms, observed_ms, relative_trial_time_ms,x,y,z,rot_x,rot_y,rot_z,hmd_x,hmd_y,hmd_z,wheel_angle_degrees
1058111,1058122,11.12500000,1.2629,1.2479,1.2554,1.9127,44.8733,358.2618,0.0000,0.0000,0.0000,45.6116
1058111,1058133,22.12500000,1.2627,1.2483,1.2558,1.9180,44.1367,358.2691,0.0000,0.0000,0.0000,44.8733
1058111,1058144,33.25000000,1.2627,1.2483,1.2559,1.9186,43.3102,358.2719,0.0000,0.0000,0.0000,44.1367
1058111,1058156,44.50000000,1.2626,1.2478,1.2556,1.9248,42.3695,358.3306,0.0000,0.0000,0.0000,43.3102
1058111,1058167,55.62500000,1.2623,1.2484,1.2561,1.9028,41.4804,358.3266,0.0000,0.0000,0.0000,42.3695
1058111,1058178,66.75000000,1.2622,1.2485,1.2562,1.9118,40.4415,358.3023,0.0000,0.0000,0.0000,41.4804
1058111,1058189,77.87500000,1.2619,1.2477,1.2563,1.8659,39.3047,358.3082,0.0000,0.0000,0.0000,40.4415
1058111,1058200,89.00000000,1.2619,1.2485,1.2562,1.8578,38.1938,358.3998,0.0000,0.0000,0.0000,39.3047
1058111,1058211,100.00000000,1.2617,1.2480,1.2564,1.8342,36.8126,358.3747,0.0000,0.0000,0.0000,38.1938
1058111,1058222,111.12500000,1.2615,1.2483,1.2567,1.7815,35.4703,358.4201,0.0000,0.0000,0.0000,36.8126
1058111,1058233,122.25000000,1.2613,1.2472,1.2567,1.7628,34.0293,358.4262,0.0000,0.0000,0.0000,35.4703
1058111,1058245,133.37500000,1.2612,1.2480,1.2569,1.7637,32.4532,358.4144,0.0000,0.0000,0.0000,34.0293
1058111,1058256,144.50000000,1.2612,1.2488,1.2574,1.6706,30.8406,358.4950,0.0000,0.0000,0.0000,32.4532
1058111,1058267,155.62500000,1.2611,1.2484,1.2572,1.6508,29.1159,358.5041,0.0000,0.0000,0.0000,30.8406
1058111,1058278,166.75000000,1.2611,1.2483,1.2575,1.6213,27.2890,358.4640,0.0000,0.0000,0.0000,29.1159
1058111,1058289,177.87500000,1.2611,1.2487,1.2578,1.4882,25.3845,358.5685,0.0000,0.0000,0.0000,27.2890
1058111,1058300,188.87500000,1.2609,1.2472,1.2577,1.4537,23.5452,358.5815,0.0000,0.0000,0.0000,25.3845
1058111,1058311,200.00000000,1.2607,1.2496,1.2577,1.4675,21.5907,358.5738,0.0000,0.0000,0.0000,23.5452
1058111,1058322,211.12500000,1.2597,1.2472,1.2576,1.3510,19.5492,358.5880,0.0000,0.0000,0.0000,21.5907
1058111,1058333,222.25000000,1.2593,1.2474,1.2577,1.3511,17.4689,358.5576,0.0000,0.0000,0.0000,19.5492
1058111,1058345,233.37500000,1.2590,1.2488,1.2576,1.2755,15.2790,358.6078,0.0000,0.0000,0.0000,17.4689
1058111,1058356,244.50000000,1.2589,1.2492,1.2578,1.1662,13.1446,358.6923,0.0000,0.0000,0.0000,15.2790
1058111,1058367,255.62500000,1.2586,1.2490,1.2580,1.0755,10.9002,358.7081,0.0000,0.0000,0.0000,13.1446
1058111,1058378,266.62500000,1.2585,1.2489,1.2581,1.1098,8.6839,358.6626,0.0000,0.0000,0.0000,10.9002
1058111,1058389,277.75000000,1.2576,1.2479,1.2580,1.0413,6.3936,358.6934,0.0000,0.0000,0.0000,8.6839
1058111,1058400,288.87500000,1.2574,1.2476,1.2583,0.9274,4.1308,358.7178,0.0000,0.0000,0.0000,6.3936
